store,mean_sales,lag1,lag4,roll4
1,1554643.631294964,1555085.5435507246,1554443.5367407408,1555690.5338602941
2,1921712.900791367,1922345.1801449275,1922493.1724444441,1921823.8860477938
3,401982.27942446043,401957.27637681155,401416.51125925925,401905.6665808824
4,2095287.1440287768,2094893.6127536227,2093742.1497037036,2096698.6379963234
5,318510.5100719424,318502.9719565217,318308.57985185186,318820.34716911765
6,1564727.4848920864,1565693.4352173912,1567786.9297777778,1565710.8265992648
7,572479.1438848921,573036.6501449276,574469.1733333333,574018.1020036765
8,907486.9795683454,907601.5849275362,906998.2293333333,908004.6317279411
9,544618.2358992806,544581.1833333333,544036.8425185186,545073.7704411765
10,1893010.2811510793,1894087.5364492754,1897602.8497777777,1893945.3544669119
11,1352664.6815107912,1353765.6614492757,1354465.398148148,1353668.0548713235
12,1006656.7023741007,1006888.2900724638,1007962.1867407408,1006885.8341544119
13,2005262.0492805757,2005045.1825362318,2004720.198962963,2006257.207022059
14,2017065.2821582735,2019331.2797101452,2027779.7341481482,2019235.5979779412
15,622830.1613669065,623296.5132608697,624696.0577037036,623781.2676654411
16,520790.3665467626,521116.6000724637,521287.3553333333,521614.4813786765
17,896409.2615107914,896068.2757971016,895019.0941481482,897258.6455882351
18,1082753.4182733812,1082429.0499275362,1082668.2840740744,1081898.0435661767
19,1443895.1712949642,1444777.6148550725,1446647.2807407405,1445014.8799632355
20,2106672.9883453236,2107216.629202899,2106571.615481482,2107945.0593014704
21,754626.4971942446,755202.0307246377,757568.1462962963,755913.4473713236
22,1029725.4018705037,1029256.5809420289,1029966.3186666665,1030065.8751470589
23,1391990.6942446043,1392313.4196376815,1391841.142962963,1392989.9327389707
24,1357331.678561151,1357695.0799275362,1357581.3665185187,1357995.1872058825
25,708602.9228776979,708745.4010144926,709070.2174074075,709319.3661580883
26,1003682.4239568346,1004008.9647101449,1003240.853037037,1004280.575588235
27,1776260.8616546763,1776791.391521739,1780184.737925926,1779593.791764706
28,1316538.748561151,1317282.7930434782,1318317.209037037,1316364.1483455882
29,539873.598705036,539909.1271014492,540416.1518518517,540215.1710477942
30,437543.58316546766,437529.95333333337,437483.3448888888,437217.64976102946
31,1394122.050791367,1394512.5544202898,1394811.2858518516,1394730.3842463235
32,1168865.1632374101,1168494.7710144925,1167952.0725185184,1169499.460882353
33,259063.61223021583,259102.2534057971,258847.94503703708,258633.37643382352
34,966972.6895683453,967045.0437681159,967193.9977037037,967648.4413051471
35,912445.5603597122,912788.3716666666,914042.9857777777,910452.2988970588
36,370915.85654676263,371629.09166666673,373482.0732592592,370927.316875
37,518797.7163309352,518682.20391304337,518209.19940740743,518709.09477941185
38,387032.04841726617,386812.7851449275,385596.7275555555,386965.48018382356
39,1457190.954028777,1456377.105869565,1454323.915111111,1458182.2395036763
40,964984.3243884892,965301.1345652173,964753.7097037038,965596.6904411764
41,1274358.0496402879,1274052.3645652174,1271728.3196296296,1276261.4757352944
42,557168.0072661871,557475.3400724638,556923.3149629629,557324.2487867648
43,632789.8330935251,633117.2699275363,633216.8845185185,632842.7497242646
44,303482.76539568347,303065.48782608693,302400.6220740741,303308.87685661763
45,786075.5941007194,786262.5083333334,787542.082888889,786704.8209926471
